Pudding chia, BREAKFAST, 12.50, 200,chia seeds;milk;sugar;mango;berries
Yoghurt pancakes,BREAKFAST,14.20,250,natural yoghurt;eggs;flour;baking soda;bananas
Oats with apples,BREAKFAST,10.80,300,oats;milk;sugar;apples
Oat smoothie,BREAKFAST,11.80,250,oats;cashews;water;banana;rasberries;milk;sugar
Egg muffins,BREAKFAST,12.00,280,eggs;broccoli;garlic;ham;cheese
Spaghetti puttanesca,LUNCH,20.50,350,onion;garlic;chili flakes;tomatoes;black olives;capers;spaghetti;parsley
Cheesy broccoli pasta,LUNCH,21.50,400,penne;broccoli;butter;flour;mustard;cheddar
Chicken pasta bake,LUNCH,25.00,450,olive oil;onion;garlic;chili flakes;caster sugar;mascarpone;chicken;penne;cheddar;mozzarella;parsley
Classic lasagne,LUNCH,28.30,500,olive oil;beef mince;prosciutto;tomato sauce;beef stock;nutmeg;lasagne sheets;mozzarella
Italian broccoli & salmon bake,SUPPER,20.00,350,penne;broccoli;butter;flour;milk;mascarpone;sundried tomatoes;anchovy;salmon;cheddar
Beef stroganoff,SUPPER,18.20,380,olive oil;onion;garlic;butter;mashrooms;flour;fillet steak;crème fraîche;mustard;beef stock;parsley
Sausage ragu,SUPPER,19.00,400,olive oil;onion;garlic; chili flakes;rosemary;tomatoes;brown sugar;pork sausages;milk;lemon;pasta;parmesan
